EcoTypeID,VegID,treeSpecfrac,EcoTypeDescription,Domain
-999,GFBtr,0.5,Generic Broadleaf Tree,Generic
-999,GFNtr,0.5,Generic Needleleaf tree,Generic
999,AustraliaBtr,1,no vegetation,Australia
1001,AustraliaBtr,1,cool rainforest,Australia
1002,AustraliaBtr,1,tropical rainforest,Australia
1003,Eucalyptus,1,eucalyptus,Australia
1004,Eucalyptus,1,eucalyptus,Australia
1005,Eucalyptus,1,eucalyptus,Australia
1006,AustraliaBtr,1,warm rainforest,Australia
1007,Eucalyptus,1,eucalyptus,Australia
1008,Eucalyptus,1,eucalyptus,Australia
1009,Eucalyptus,1,eucalyptus,Australia
1010,Eucalyptus,1,eucalyptus,Australia
1011,AustraliaBtr,1,tropical mixed,Australia
1012,Callitris,1,Callitris,Australia
1013,Acacia harpophylla,1,Acacia harpophylla,Australia
1014,Acacia,1,Acacia,Australia
1015,Melaleuca,1,Melaleuca,Australia
1016,AustraliaBtr,1,Australian other trees,Australia
1017,AustraliaBtr,1,Australian other trees,Australia
1018,Eucalyptus,1,eucalyptus,Australia
1019,Eucalyptus,1,eucalyptus,Australia
1020,Acacia aneura,1,Acacia aneura,Australia
1021,Acacia,1,Acacia,Australia
1022,Acacia,1,Acacia,Australia
1023,Acacia,1,Acacia,Australia
1024,Acacia,1,Acacia,Australia
1025,Acacia,1,Acacia,Australia
1026,Allocasuarina,0.5,Allocasuarina,Australia
1026,Casuarina,0.5,Casuarina,Australia
1027,Eucalyptus,1,eucalyptuc,Australia
1028,Acacia,0.34,Acacia,Australia
1028,Banksia,0.33,Banksia,Australia
1028,Melaleuca,0.33,Melaleuca,Australia
1029,Eucalyptus,1,eucalyptus,Australia
1030,AustraliaBtr,1,Australian other trees,Australia
1031,AustraliaBtr,1,Australian other trees,Australia
1032,AustraliaBtr,1,Australian other trees,Australia
1033,AustraliaBtr,1,Australian other trees,Australia
1034,AustraliaBtr,1,Australian other trees,Australia
1035,AustraliaBtr,1,Australian other trees,Australia
1036,AustraliaBtr,1,Australian other trees,Australia
1037,AustraliaBtr,1,Australian other trees,Australia
1038,AustraliaBtr,1,Australian other trees,Australia
1039,AustraliaBtr,1,Australian other trees,Australia
1040,Avicennia,1,Australian other trees,Australia
1041,AustraliaBtr,1,Australian other trees,Australia
1042,AustraliaBtr,1,Australian other trees,Australia
1043,AustraliaBtr,1,Australian other trees,Australia
1044,AustraliaBtr,1,Australian other trees,Australia
1045,Acacia aneura,1,Acacia aneura,Australia
1046,AustraliaBtr,1,Australian other trees,Australia
1047,Eucalyptus,1,eucalyptus,Australia
1048,Eucalyptus,1,eucalyptus,Australia
1049,Melaleuca,1,Melaleuca,Australia
1050,Banksia,1,Banksia,Australia
1051,Acacia aneura,1,Acacia aneura,Australia
1052,Acacia aneura,1,Acacia aneura,Australia
1053,Eucalyptus,1,eucalyptus,Australia
1054,Eucalyptus,1,eucalyptus,Australia
1055,Eucalyptus,1,eucalyptus,Australia
1056,Eucalyptus,1,eucalyptus,Australia
1057,AustraliaBtr,1,Australian other trees,Australia
1058,Leptospermum,1,Leptospermum,Australia
1059,Eucalyptus,1,eucalyptus,Australia
1060,Eucalyptus,1,eucalyptus,Australia
1061,Eucalyptus,1,eucalyptus,Australia
1062,AustraliaBtr,1,rainforest,Australia
1063,AustraliaBtr,1,Australian other trees,Australia
1064,AustraliaBtr,1,Australian other trees,Australia
1065,Eucalyptus,1,eucalyptus,Australia
1066,Eucalyptus,1,eucalyptus,Australia
